id,domain,topic,question_type,difficulty,question,question_en,question_fr,question_ar,question_de,question_pt,question_es,languages
Q0011,coding,debugging,evaluation,hard,What evidence would convince you that debugging is being used correctly?,What evidence would convince you that debugging is being used correctly?,Quelles preuves montreraient que le débogage est utilisé correctement ?,ما الدليل الذي يوضح أن تصحيح الأخطاء يُستخدم بشكل صحيح؟,"Welche Belege würden zeigen, dass Debugging richtig verwendet wird?",Que evidências mostrariam que depuração está sendo usado corretamente?,¿Qué evidencia mostraría que depuración se está usando correctamente?,"en,fr,ar,de,pt,es"
Q0012,coding,data structures,advantages_limitations,medium,What are the strengths and weaknesses of using data structures?,What are the strengths and weaknesses of using data structures?,Quels sont les avantages et les limites de les structures de données ?,ما مزايا وحدود هياكل البيانات؟,Welche Vorteile und Grenzen hat Datenstrukturen?,Quais são as vantagens e limitações de estruturas de dados?,¿Cuáles son las ventajas y limitaciones de estructuras de datos?,"en,fr,ar,de,pt,es"
Q0013,coding,recursion,beginner_explanation,easy,How could you teach recursion using a simple story or analogy?,How could you teach recursion using a simple story or analogy?,Comment expliquerais-tu la récursivité à un débutant qui étudie programmation ?,كيف تشرح الاستدعاء الذاتي لمبتدئ يدرس البرمجة؟,"Wie würdest du Rekursion einem Anfänger erklären, der Programmierung lernt?",Como você explicaria recursão para um iniciante que estuda programação?,¿Cómo explicarías recursión a un principiante que estudia programación?,"en,fr,ar,de,pt,es"
Q0014,coding,Git workflows,analysis_steps,medium,How would you create a study checklist for Git workflows?,How would you create a study checklist for Git workflows?,Quelles étapes suivrais-tu pour analyser les flux de travail Git ?,ما الخطوات التي ستتبعها لتحليل سير عمل Git؟,"Welche Schritte würdest du befolgen, um Git-Workflows zu analysieren?",Quais etapas você seguiria para analisar fluxos de trabalho Git?,¿Qué pasos seguirías para analizar flujos de trabajo de Git?,"en,fr,ar,de,pt,es"
Q0015,coding,recursion,compare,medium,What can we learn by comparing recursion and REST APIs?,What can we learn by comparing recursion and REST APIs?,Peux-tu comparer la récursivité avec une autre idée de programmation ?,هل يمكنك مقارنة الاستدعاء الذاتي بفكرة أخرى من مجال البرمجة؟,Kannst du Rekursion mit einer anderen Idee aus Programmierung vergleichen?,Você pode comparar recursão com outra ideia de programação?,¿Puedes comparar recursión con otra idea de programación?,"en,fr,ar,de,pt,es"
Q0016,coding,software architecture,creative,hard,Create a lesson plan that teaches software architecture in an engaging way.,Create a lesson plan that teaches software architecture in an engaging way.,Crée une activité d’apprentissage engageante autour de l’architecture logicielle.,أنشئ نشاطًا تعليميًا جذابًا حول هندسة البرمجيات.,Erstelle eine ansprechende Lernaktivität zu Softwarearchitektur.,Crie uma atividade de aprendizagem envolvente sobre arquitetura de software.,Crea una actividad de aprendizaje atractiva sobre arquitectura de software.,"en,fr,ar,de,pt,es"
Q0017,coding,authentication,application,medium,How can authentication be used responsibly in the real world?,How can authentication be used responsibly in the real world?,Comment peut-on utiliser l’authentification de manière responsable dans le monde réel ?,كيف يمكن استخدام المصادقة بمسؤولية في العالم الحقيقي؟,Wie kann man Authentifizierung in der realen Welt verantwortungsvoll nutzen?,Como autenticação pode ser usado de forma responsável no mundo real?,¿Cómo se puede usar autenticación de manera responsable en el mundo real?,"en,fr,ar,de,pt,es"
Q0018,coding,React components,application,medium,How would you use React components in a practical case study?,How would you use React components in a practical case study?,Comment peut-on utiliser les composants React de manière responsable dans le monde réel ?,كيف يمكن استخدام مكونات React بمسؤولية في العالم الحقيقي؟,Wie kann man React-Komponenten in der realen Welt verantwortungsvoll nutzen?,Como componentes React pode ser usado de forma responsável no mundo real?,¿Cómo se puede usar componentes React de manera responsable en el mundo real?,"en,fr,ar,de,pt,es"
Q0019,coding,error handling,analysis_steps,medium,How would you break down error handling into smaller parts for study?,How would you break down error handling into smaller parts for study?,Quelles étapes suivrais-tu pour analyser la gestion des erreurs ?,ما الخطوات التي ستتبعها لتحليل معالجة الأخطاء؟,"Welche Schritte würdest du befolgen, um Fehlerbehandlung zu analysieren?",Quais etapas você seguiria para analisar tratamento de erros?,¿Qué pasos seguirías para analizar manejo de errores?,"en,fr,ar,de,pt,es"
Q0020,coding,web security,analysis_steps,medium,How would you break down web security into smaller parts for study?,How would you break down web security into smaller parts for study?,Quelles étapes suivrais-tu pour analyser la sécurité web ?,ما الخطوات التي ستتبعها لتحليل أمن الويب؟,"Welche Schritte würdest du befolgen, um Websicherheit zu analysieren?",Quais etapas você seguiria para analisar segurança web?,¿Qué pasos seguirías para analizar seguridad web?,"en,fr,ar,de,pt,es"
Q0021,coding,PHP MVC,beginner_explanation,easy,How would you explain PHP MVC to a 12-year-old learner?,How would you explain PHP MVC to a 12-year-old learner?,Comment expliquerais-tu PHP MVC à un débutant qui étudie programmation ?,كيف تشرح PHP MVC لمبتدئ يدرس البرمجة؟,"Wie würdest du PHP MVC einem Anfänger erklären, der Programmierung lernt?",Como você explicaria PHP MVC para um iniciante que estuda programação?,¿Cómo explicarías PHP MVC a un principiante que estudia programación?,"en,fr,ar,de,pt,es"
Q0022,coding,software architecture,analysis_steps,medium,What steps would you follow to analyze software architecture?,What steps would you follow to analyze software architecture?,Quelles étapes suivrais-tu pour analyser l’architecture logicielle ?,ما الخطوات التي ستتبعها لتحليل هندسة البرمجيات؟,"Welche Schritte würdest du befolgen, um Softwarearchitektur zu analysieren?",Quais etapas você seguiria para analisar arquitetura de software?,¿Qué pasos seguirías para analizar arquitectura de software?,"en,fr,ar,de,pt,es"
Q0023,coding,databases,misconceptions,medium,"What do people often get wrong about databases, and how would you correct it?","What do people often get wrong about databases, and how would you correct it?",Quelles sont les idées fausses courantes sur les bases de données ?,ما المفاهيم الخاطئة الشائعة حول قواعد البيانات؟,Welche häufigen Missverständnisse gibt es über Datenbanken?,Quais são os equívocos comuns sobre bancos de dados?,¿Cuáles son los conceptos erróneos comunes sobre bases de datos?,"en,fr,ar,de,pt,es"
Q0024,coding,web security,analysis_steps,medium,What evidence or examples would you collect to understand web security deeply?,What evidence or examples would you collect to understand web security deeply?,Quelles étapes suivrais-tu pour analyser la sécurité web ?,ما الخطوات التي ستتبعها لتحليل أمن الويب؟,"Welche Schritte würdest du befolgen, um Websicherheit zu analysieren?",Quais etapas você seguiria para analisar segurança web?,¿Qué pasos seguirías para analizar seguridad web?,"en,fr,ar,de,pt,es"
Q0025,coding,software architecture,case_study,hard,What mistakes might happen in a case involving software architecture?,What mistakes might happen in a case involving software architecture?,Analyse une étude de cas où l’architecture logicielle a joué un rôle important.,حلّل دراسة حالة لعب فيها هندسة البرمجيات دورًا مهمًا.,"Analysiere eine Fallstudie, in der Softwarearchitektur eine wichtige Rolle gespielt hat.",Analise um estudo de caso em que arquitetura de software teve um papel importante.,Analiza un caso en el que arquitectura de software desempeñó un papel importante.,"en,fr,ar,de,pt,es"
Q0026,coding,Python functions,definition,easy,What problem does Python functions help people understand or solve?,What problem does Python functions help people understand or solve?,Comment définirais-tu les fonctions Python et pourquoi est-ce important en programmation ?,كيف تعرّف دوال Python، ولماذا يُعد مهمًا في مجال البرمجة؟,"Wie würdest du Python-Funktionen definieren, und warum ist es in Programmierung wichtig?",Como você definiria funções Python e por que isso é importante em programação?,¿Cómo definirías funciones de Python y por qué es importante en programación?,"en,fr,ar,de,pt,es"
Q0027,coding,cloud deployment,advantages_limitations,medium,"When is cloud deployment helpful, and when can it be misleading?","When is cloud deployment helpful, and when can it be misleading?",Quels sont les avantages et les limites de le déploiement cloud ?,ما مزايا وحدود النشر السحابي؟,Welche Vorteile und Grenzen hat Cloud-Bereitstellung?,Quais são as vantagens e limitações de implantação em nuvem?,¿Cuáles son las ventajas y limitaciones de despliegue en la nube?,"en,fr,ar,de,pt,es"
Q0028,coding,version control,application,medium,Design a simple project that uses version control. What would it do?,Design a simple project that uses version control. What would it do?,Comment peut-on utiliser le contrôle de version de manière responsable dans le monde réel ?,كيف يمكن استخدام التحكم في الإصدارات بمسؤولية في العالم الحقيقي؟,Wie kann man Versionskontrolle in der realen Welt verantwortungsvoll nutzen?,Como controle de versão pode ser usado de forma responsável no mundo real?,¿Cómo se puede usar control de versiones de manera responsable en el mundo real?,"en,fr,ar,de,pt,es"
Q0029,coding,cloud deployment,application,medium,How can cloud deployment be used responsibly in the real world?,How can cloud deployment be used responsibly in the real world?,Comment peut-on utiliser le déploiement cloud de manière responsable dans le monde réel ?,كيف يمكن استخدام النشر السحابي بمسؤولية في العالم الحقيقي؟,Wie kann man Cloud-Bereitstellung in der realen Welt verantwortungsvoll nutzen?,Como implantação em nuvem pode ser usado de forma responsável no mundo real?,¿Cómo se puede usar despliegue en la nube de manera responsable en el mundo real?,"en,fr,ar,de,pt,es"
Q0030,coding,algorithms,advantages_limitations,medium,"When is algorithms helpful, and when can it be misleading?","When is algorithms helpful, and when can it be misleading?",Quels sont les avantages et les limites de les algorithmes ?,ما مزايا وحدود الخوارزميات؟,Welche Vorteile und Grenzen hat Algorithmen?,Quais são as vantagens e limitações de algoritmos?,¿Cuáles son las ventajas y limitaciones de algoritmos?,"en,fr,ar,de,pt,es"
Q0031,coding,PHP MVC,misconceptions,medium,Which false beliefs about PHP MVC can confuse beginners?,Which false beliefs about PHP MVC can confuse beginners?,Quelles sont les idées fausses courantes sur PHP MVC ?,ما المفاهيم الخاطئة الشائعة حول PHP MVC؟,Welche häufigen Missverständnisse gibt es über PHP MVC?,Quais são os equívocos comuns sobre PHP MVC?,¿Cuáles son los conceptos erróneos comunes sobre PHP MVC?,"en,fr,ar,de,pt,es"
Q0032,coding,web security,application,medium,How would you use web security in a practical case study?,How would you use web security in a practical case study?,Comment peut-on utiliser la sécurité web de manière responsable dans le monde réel ?,كيف يمكن استخدام أمن الويب بمسؤولية في العالم الحقيقي؟,Wie kann man Websicherheit in der realen Welt verantwortungsvoll nutzen?,Como segurança web pode ser usado de forma responsável no mundo real?,¿Cómo se puede usar seguridad web de manera responsable en el mundo real?,"en,fr,ar,de,pt,es"
Q0033,coding,React components,causes_principles,medium,What are the main causes or principles behind React components?,What are the main causes or principles behind React components?,Quelles sont les causes ou les principes principaux derrière les composants React ?,ما الأسباب أو المبادئ الرئيسية وراء مكونات React؟,Was sind die wichtigsten Ursachen oder Prinzipien hinter React-Komponenten?,Quais são as principais causas ou princípios por trás de componentes React?,¿Cuáles son las principales causas o principios detrás de componentes React?,"en,fr,ar,de,pt,es"
Q0034,coding,testing,analysis_steps,medium,What questions should a researcher ask when analyzing testing?,What questions should a researcher ask when analyzing testing?,Quelles étapes suivrais-tu pour analyser les tests ?,ما الخطوات التي ستتبعها لتحليل الاختبار؟,"Welche Schritte würdest du befolgen, um Testen zu analysieren?",Quais etapas você seguiria para analisar testes?,¿Qué pasos seguirías para analizar pruebas?,"en,fr,ar,de,pt,es"
Q0035,coding,recursion,practical_example,easy,What problem could be solved using recursion?,What problem could be solved using recursion?,Quel est un exemple pratique de la récursivité ?,ما مثال عملي على الاستدعاء الذاتي؟,Was ist ein praktisches Beispiel für Rekursion?,Qual é um exemplo prático de recursão?,¿Cuál es un ejemplo práctico de recursión?,"en,fr,ar,de,pt,es"
Q0036,coding,backend development,prompt_ai,medium,How could an AI tutor adapt an explanation of backend development for different learners?,How could an AI tutor adapt an explanation of backend development for different learners?,Quel format de réponse un agent IA devrait-il utiliser pour une question sur le développement backend ?,ما تنسيق الإجابة الذي يجب أن يستخدمه وكيل ذكاء اصطناعي لسؤال حول تطوير الواجهة الخلفية؟,Welches Antwortformat sollte ein KI-Agent für eine Frage über Backend-Entwicklung verwenden?,Que formato de resposta um agente de IA deve usar para uma pergunta sobre desenvolvimento backend?,¿Qué formato de respuesta debería usar un agente de IA para una pregunta sobre desarrollo backend?,"en,fr,ar,de,pt,es"
Q0037,coding,SQL queries,practical_example,easy,What problem could be solved using SQL queries?,What problem could be solved using SQL queries?,Quel est un exemple pratique de les requêtes SQL ?,ما مثال عملي على استعلامات SQL؟,Was ist ein praktisches Beispiel für SQL-Abfragen?,Qual é um exemplo prático de consultas SQL?,¿Cuál es un ejemplo práctico de consultas SQL?,"en,fr,ar,de,pt,es"
Q0038,coding,software architecture,prompt_ai,medium,How can an AI agent check whether its response about software architecture is complete?,How can an AI agent check whether its response about software architecture is complete?,Quel format de réponse un agent IA devrait-il utiliser pour une question sur l’architecture logicielle ?,ما تنسيق الإجابة الذي يجب أن يستخدمه وكيل ذكاء اصطناعي لسؤال حول هندسة البرمجيات؟,Welches Antwortformat sollte ein KI-Agent für eine Frage über Softwarearchitektur verwenden?,Que formato de resposta um agente de IA deve usar para uma pergunta sobre arquitetura de software?,¿Qué formato de respuesta debería usar un agente de IA para una pregunta sobre arquitectura de software?,"en,fr,ar,de,pt,es"
Q0039,coding,React components,why_how,medium,"How does React components influence decisions, systems, or behavior?","How does React components influence decisions, systems, or behavior?","Comment les composants React influence-t-il les décisions, les systèmes ou les comportements ?",كيف يؤثر مكونات React في القرارات أو الأنظمة أو السلوك؟,"Wie beeinflusst React-Komponenten Entscheidungen, Systeme oder Verhalten?","Como componentes React influencia decisões, sistemas ou comportamentos?","¿Cómo influye componentes React en las decisiones, los sistemas o el comportamiento?","en,fr,ar,de,pt,es"
Q0040,coding,SQL queries,advantages_limitations,medium,"When is SQL queries helpful, and when can it be misleading?","When is SQL queries helpful, and when can it be misleading?",Quels sont les avantages et les limites de les requêtes SQL ?,ما مزايا وحدود استعلامات SQL؟,Welche Vorteile und Grenzen hat SQL-Abfragen?,Quais são as vantagens e limitações de consultas SQL?,¿Cuáles son las ventajas y limitaciones de consultas SQL?,"en,fr,ar,de,pt,es"
Q0041,coding,error handling,creative,hard,Design a debate topic related to error handling.,Design a debate topic related to error handling.,Crée une activité d’apprentissage engageante autour de la gestion des erreurs.,أنشئ نشاطًا تعليميًا جذابًا حول معالجة الأخطاء.,Erstelle eine ansprechende Lernaktivität zu Fehlerbehandlung.,Crie uma atividade de aprendizagem envolvente sobre tratamento de erros.,Crea una actividad de aprendizaje atractiva sobre manejo de errores.,"en,fr,ar,de,pt,es"
Q0042,coding,frontend development,expert_importance,medium,What makes frontend development valuable for advanced study?,What makes frontend development valuable for advanced study?,Pourquoi les experts en programmation s’intéressent-ils à le développement frontend ?,لماذا يهتم خبراء البرمجة بـ تطوير الواجهة الأمامية؟,Warum interessieren sich Experten für Programmierung für Frontend-Entwicklung?,Por que especialistas em programação se importam com desenvolvimento frontend?,¿Por qué los expertos en programación se interesan por desarrollo frontend?,"en,fr,ar,de,pt,es"
Q0043,coding,SQL queries,causes_principles,medium,What are the building blocks of SQL queries?,What are the building blocks of SQL queries?,Quelles sont les causes ou les principes principaux derrière les requêtes SQL ?,ما الأسباب أو المبادئ الرئيسية وراء استعلامات SQL؟,Was sind die wichtigsten Ursachen oder Prinzipien hinter SQL-Abfragen?,Quais são as principais causas ou princípios por trás de consultas SQL?,¿Cuáles son las principales causas o principios detrás de consultas SQL?,"en,fr,ar,de,pt,es"
Q0044,coding,mobile apps,practical_example,easy,What problem could be solved using mobile apps?,What problem could be solved using mobile apps?,Quel est un exemple pratique de les applications mobiles ?,ما مثال عملي على تطبيقات الهاتف المحمول؟,Was ist ein praktisches Beispiel für mobile Apps?,Qual é um exemplo prático de aplicativos móveis?,¿Cuál es un ejemplo práctico de aplicaciones móviles?,"en,fr,ar,de,pt,es"
Q0045,coding,authentication,beginner_explanation,easy,How would you explain authentication to a beginner studying coding?,How would you explain authentication to a beginner studying coding?,Comment expliquerais-tu l’authentification à un débutant qui étudie programmation ?,كيف تشرح المصادقة لمبتدئ يدرس البرمجة؟,"Wie würdest du Authentifizierung einem Anfänger erklären, der Programmierung lernt?",Como você explicaria autenticação para um iniciante que estuda programação?,¿Cómo explicarías autenticación a un principiante que estudia programación?,"en,fr,ar,de,pt,es"
Q0046,coding,algorithms,causes_principles,medium,What fundamental rules explain how algorithms works?,What fundamental rules explain how algorithms works?,Quelles sont les causes ou les principes principaux derrière les algorithmes ?,ما الأسباب أو المبادئ الرئيسية وراء الخوارزميات؟,Was sind die wichtigsten Ursachen oder Prinzipien hinter Algorithmen?,Quais são as principais causas ou princípios por trás de algoritmos?,¿Cuáles son las principales causas o principios detrás de algoritmos?,"en,fr,ar,de,pt,es"
Q0047,coding,Python functions,creative,hard,Write a short scenario where Python functions creates a difficult decision.,Write a short scenario where Python functions creates a difficult decision.,Crée une activité d’apprentissage engageante autour de les fonctions Python.,أنشئ نشاطًا تعليميًا جذابًا حول دوال Python.,Erstelle eine ansprechende Lernaktivität zu Python-Funktionen.,Crie uma atividade de aprendizagem envolvente sobre funções Python.,Crea una actividad de aprendizaje atractiva sobre funciones de Python.,"en,fr,ar,de,pt,es"
Q0048,coding,object-oriented programming,prompt_ai,medium,What answer format should an AI agent use for a question about object-oriented programming?,What answer format should an AI agent use for a question about object-oriented programming?,Quel format de réponse un agent IA devrait-il utiliser pour une question sur la programmation orientée objet ?,ما تنسيق الإجابة الذي يجب أن يستخدمه وكيل ذكاء اصطناعي لسؤال حول البرمجة كائنية التوجه؟,Welches Antwortformat sollte ein KI-Agent für eine Frage über objektorientierte Programmierung verwenden?,Que formato de resposta um agente de IA deve usar para uma pergunta sobre programação orientada a objetos?,¿Qué formato de respuesta debería usar un agente de IA para una pregunta sobre programación orientada a objetos?,"en,fr,ar,de,pt,es"
Q0049,coding,Node.js servers,analysis_steps,medium,What evidence or examples would you collect to understand Node.js servers deeply?,What evidence or examples would you collect to understand Node.js servers deeply?,Quelles étapes suivrais-tu pour analyser les serveurs Node.js ?,ما الخطوات التي ستتبعها لتحليل خوادم Node.js؟,"Welche Schritte würdest du befolgen, um Node.js-Server zu analysieren?",Quais etapas você seguiria para analisar servidores Node.js?,¿Qué pasos seguirías para analizar servidores Node.js?,"en,fr,ar,de,pt,es"
Q0050,coding,frontend development,definition,easy,How would you define frontend development for a complete beginner?,How would you define frontend development for a complete beginner?,Comment définirais-tu le développement frontend et pourquoi est-ce important en programmation ?,كيف تعرّف تطوير الواجهة الأمامية، ولماذا يُعد مهمًا في مجال البرمجة؟,"Wie würdest du Frontend-Entwicklung definieren, und warum ist es in Programmierung wichtig?",Como você definiria desenvolvimento frontend e por que isso é importante em programação?,¿Cómo definirías desarrollo frontend y por qué es importante en programación?,"en,fr,ar,de,pt,es"
Q0051,coding,cloud deployment,causes_principles,medium,What are the building blocks of cloud deployment?,What are the building blocks of cloud deployment?,Quelles sont les causes ou les principes principaux derrière le déploiement cloud ?,ما الأسباب أو المبادئ الرئيسية وراء النشر السحابي؟,Was sind die wichtigsten Ursachen oder Prinzipien hinter Cloud-Bereitstellung?,Quais são as principais causas ou princípios por trás de implantação em nuvem?,¿Cuáles son las principales causas o principios detrás de despliegue en la nube?,"en,fr,ar,de,pt,es"
Q0052,coding,object-oriented programming,case_study,hard,What lessons can be learned from a real or imagined case involving object-oriented programming?,What lessons can be learned from a real or imagined case involving object-oriented programming?,Analyse une étude de cas où la programmation orientée objet a joué un rôle important.,حلّل دراسة حالة لعب فيها البرمجة كائنية التوجه دورًا مهمًا.,"Analysiere eine Fallstudie, in der objektorientierte Programmierung eine wichtige Rolle gespielt hat.",Analise um estudo de caso em que programação orientada a objetos teve um papel importante.,Analiza un caso en el que programación orientada a objetos desempeñó un papel importante.,"en,fr,ar,de,pt,es"
Q0053,coding,cloud deployment,case_study,hard,What would a successful example of cloud deployment look like?,What would a successful example of cloud deployment look like?,Analyse une étude de cas où le déploiement cloud a joué un rôle important.,حلّل دراسة حالة لعب فيها النشر السحابي دورًا مهمًا.,"Analysiere eine Fallstudie, in der Cloud-Bereitstellung eine wichtige Rolle gespielt hat.",Analise um estudo de caso em que implantação em nuvem teve um papel importante.,Analiza un caso en el que despliegue en la nube desempeñó un papel importante.,"en,fr,ar,de,pt,es"
Q0054,coding,REST APIs,practical_example,easy,What is a practical example of REST APIs?,What is a practical example of REST APIs?,Quel est un exemple pratique de les API REST ?,ما مثال عملي على واجهات REST API؟,Was ist ein praktisches Beispiel für REST-APIs?,Qual é um exemplo prático de APIs REST?,¿Cuál es un ejemplo práctico de APIs REST?,"en,fr,ar,de,pt,es"
Q0055,coding,cloud deployment,application,medium,How would you use cloud deployment in a practical case study?,How would you use cloud deployment in a practical case study?,Comment peut-on utiliser le déploiement cloud de manière responsable dans le monde réel ?,كيف يمكن استخدام النشر السحابي بمسؤولية في العالم الحقيقي؟,Wie kann man Cloud-Bereitstellung in der realen Welt verantwortungsvoll nutzen?,Como implantação em nuvem pode ser usado de forma responsável no mundo real?,¿Cómo se puede usar despliegue en la nube de manera responsable en el mundo real?,"en,fr,ar,de,pt,es"
Q0056,coding,mobile apps,definition,easy,How would you define mobile apps for a complete beginner?,How would you define mobile apps for a complete beginner?,Comment définirais-tu les applications mobiles et pourquoi est-ce important en programmation ?,كيف تعرّف تطبيقات الهاتف المحمول، ولماذا يُعد مهمًا في مجال البرمجة؟,"Wie würdest du mobile Apps definieren, und warum ist es in Programmierung wichtig?",Como você definiria aplicativos móveis e por que isso é importante em programação?,¿Cómo definirías aplicaciones móviles y por qué es importante en programación?,"en,fr,ar,de,pt,es"
Q0057,coding,web security,causes_principles,medium,What are the building blocks of web security?,What are the building blocks of web security?,Quelles sont les causes ou les principes principaux derrière la sécurité web ?,ما الأسباب أو المبادئ الرئيسية وراء أمن الويب؟,Was sind die wichtigsten Ursachen oder Prinzipien hinter Websicherheit?,Quais são as principais causas ou princípios por trás de segurança web?,¿Cuáles son las principales causas o principios detrás de seguridad web?,"en,fr,ar,de,pt,es"
Q0058,coding,web security,beginner_explanation,easy,How would you explain web security to a beginner studying coding?,How would you explain web security to a beginner studying coding?,Comment expliquerais-tu la sécurité web à un débutant qui étudie programmation ?,كيف تشرح أمن الويب لمبتدئ يدرس البرمجة؟,"Wie würdest du Websicherheit einem Anfänger erklären, der Programmierung lernt?",Como você explicaria segurança web para um iniciante que estuda programação?,¿Cómo explicarías seguridad web a un principiante que estudia programación?,"en,fr,ar,de,pt,es"
Q0059,coding,React components,advantages_limitations,medium,What are the advantages and limitations of React components?,What are the advantages and limitations of React components?,Quels sont les avantages et les limites de les composants React ?,ما مزايا وحدود مكونات React؟,Welche Vorteile und Grenzen hat React-Komponenten?,Quais são as vantagens e limitações de componentes React?,¿Cuáles son las ventajas y limitaciones de componentes React?,"en,fr,ar,de,pt,es"
Q0060,coding,debugging,advantages_limitations,medium,How would you evaluate the usefulness and limits of debugging?,How would you evaluate the usefulness and limits of debugging?,Quels sont les avantages et les limites de le débogage ?,ما مزايا وحدود تصحيح الأخطاء؟,Welche Vorteile und Grenzen hat Debugging?,Quais são as vantagens e limitações de depuração?,¿Cuáles son las ventajas y limitaciones de depuración?,"en,fr,ar,de,pt,es"
